ID	BX_AZ_1	BX_AZ_2	BX_AZ_3	BX_C_1	BX_C_2	BX_C_3
NM_000016.6	239	165	169	100	105	116
NM_000017.4	171	165	186	89	65	68
NM_000018.4	442	297	325	204	225	240
NM_000019.4	34	10	29	7	14	16
NM_000020.3	1	0	0	0	0	0
NM_000021.4	573	482	411	259	239	232
NM_000022.4	101	74	83	50	55	71
NM_000024.6	2360	1830	1720	781	865	908
NM_000026.4	93	50	55	38	55	61
NM_000027.4	79	69	65	52	31	57
NM_000028.2	142	115	111	96	85	83
NM_000030.3	10	9	3	5	3	3
NM_000031.6	103	78	70	52	41	47
NM_000033.4	233	238	234	195	214	216
NM_000035.4	2	6	6	0	0	0
NM_000036.3	2	0	0	0	0	2
NM_000037.4	81	61	73	22	42	32
NM_000038.6	30	20	18	12	20	16
NM_000039.3	0	0	4	2	0	0
NM_000041.4	6	4	4	4	2	2
NM_000043.6	32	36	19	10	34	26
NM_000044.6	15	16	18	1	4	4
NM_000046.5	69	43	39	31	28	30
NM_000047.3	2	0	0	0	0	0
NM_000048.4	167	132	129	91	92	111
NM_000049.4	8	9	4	7	3	5
NM_000050.4	469	280	286	108	107	135
NM_000051.4	181	185	185	82	89	91
NM_000052.7	87	58	68	38	36	62
NM_000053.4	0	2	0	0	0	0
NM_000054.7	1	0	0	0	1	0
NM_000055.4	63	49	42	44	36	30
NM_000056.5	21	31	12	16	11	24
NM_000057.4	134	107	107	91	91	95
NM_000059.4	983	781	693	581	670	643
NM_000062.3	18	24	20	10	14	20
NM_000063.6	8	10	6	0	4	6
NM_000064.4	15725	11106	11248	6180	6465	6619
NM_000067.3	59	63	47	41	43	50
NM_000068.4	2	0	0	0	0	0
NM_000069.3	0	2	0	0	0	0
NM_000070.3	8	9	9	0	2	5
NM_000073.3	6	1	4	2	3	4
NM_000075.4	2191	1857	1646	1319	1338	1621
NM_000076.2	2	0	0	0	0	0
NM_000078.3	0	0	0	0	0	2
NM_000079.4	0	1	0	0	0	0
NM_000080.4	3	12	10	0	4	8
NM_000081.4	34	26	20	24	29	11
NM_000082.4	70	58	55	23	44	64
NM_000084.5	51	27	17	26	33	21
NM_000085.5	1	0	0	0	0	0
NM_000086.2	154	139	112	64	29	67
NM_000087.5	6	4	8	0	4	0
NM_000088.4	66	44	44	29	21	35
NM_000089.4	6	8	2	2	6	10
NM_000090.4	42	32	38	24	40	27
NM_000092.5	1	0	2	2	2	2
NM_000093.5	110	84	77	55	87	57
NM_000094.4	1039	1064	1009	750	764	784
NM_000096.4	150	139	129	32	32	41
NM_000097.7	247	158	166	108	120	116
NM_000098.3	381	340	312	232	194	227
NM_000099.4	4726	4213	3903	2751	2447	2627
NM_000100.4	3633	3003	2765	1978	1979	2296
NM_000101.4	2293	2227	2063	1504	1420	1417
NM_000103.4	0	0	0	2	0	0
NM_000104.4	2565	1934	1950	1066	1050	1145
NM_000106.6	20	15	9	0	0	6
NM_000107.3	754	582	587	296	245	321
NM_000108.5	723	562	482	385	451	495
NM_000109.4	0	2	0	0	2	2
NM_000110.4	115	104	114	86	98	70
NM_000111.3	2	0	0	0	3	3
NM_000112.4	163	129	99	108	137	129
NM_000113.3	639	489	426	327	317	353
NM_000115.5	0	4	0	4	3	0
NM_000116.5	28	33	27	16	13	24
NM_000117.3	958	748	637	493	497	588
NM_000118.3	18	13	10	16	6	18
NM_000120.4	33	30	38	11	23	14
NM_000121.4	4	10	7	1	2	8
NM_000122.2	206	128	154	89	59	91
NM_000123.4	539	454	461	308	317	310
NM_000124.4	126	99	96	62	87	91
NM_000125.4	2	2	2	0	2	0
NM_000126.4	1071	868	761	618	634	752
NM_000127.3	2345	1834	1859	1669	1719	1827
NM_000130.5	454	379	344	246	224	273
NM_000132.4	61	56	26	12	19	28
NM_000134.4	0	2	0	0	0	2
NM_000135.4	595	402	436	296	245	313
NM_000136.3	55	28	27	23	24	24
NM_000137.4	202	182	167	110	109	119
NM_000138.5	70	52	43	36	31	33
NM_000139.5	4	0	5	1	0	0
NM_000140.5	34	26	39	10	28	28
NM_000141.5	43	34	38	15	13	22
NM_000142.5	169	142	133	47	31	35
NM_000143.4	663	568	463	324	352	431
NM_000144.5	56	61	61	46	62	75
NM_000146.4	23801	18283	17180	10115	11096	13996
NM_000147.5	589	412	393	289	283	250
NM_000148.4	143	157	98	103	60	72
NM_000149.4	16	12	23	0	2	2
NM_000150.4	6	6	7	3	1	2
NM_000151.4	2	4	1	1	2	2
NM_000152.5	45	31	33	12	12	7
NM_000153.4	323	273	271	119	178	164
NM_000154.2	59	41	39	24	47	42
NM_000155.4	215	185	204	132	103	146
NM_000156.6	8	10	8	4	2	4
NM_000157.4	232	188	150	114	90	108
NM_000158.4	758	543	497	383	396	539
NM_000159.4	116	80	68	35	50	49
NM_000161.3	88	67	47	23	31	59
NM_000163.5	0	2	3	0	1	0
NM_000164.4	23	6	16	9	12	6
NM_000165.5	1590	1217	1170	1654	1875	1786
NM_000166.6	2	0	0	0	0	0
NM_000167.6	4	4	0	4	0	2
NM_000168.6	210	190	193	120	135	129
NM_000169.3	616	517	479	444	442	519
NM_000170.3	3	4	2	10	1	11
NM_000171.4	0	0	0	0	1	0
NM_000172.4	0	0	0	0	0	2
NM_000173.7	26	10	2	6	4	4
NM_000175.5	1818	1379	1375	993	1121	1126
NM_000176.3	48	32	33	21	32	38
NM_000177.5	122	96	124	79	76	72
NM_000178.4	461	467	419	231	239	284
NM_000179.3	208	157	141	138	139	121
NM_000181.4	113	99	83	61	68	54
NM_000182.5	3443	2651	2541	1865	2072	2233
NM_000183.3	360	280	290	226	201	241
NM_000184.3	0	0	0	1	0	1
NM_000185.4	18	6	12	18	22	33
NM_000186.4	1534	1131	1035	871	850	919
NM_000188.3	263	153	183	164	179	181
NM_000189.5	413	216	274	274	338	310
NM_000190.4	83	67	68	55	38	73
NM_000191.3	457	385	320	176	133	194
NM_000192.3	0	0	0	2	4	4
NM_000193.4	180	176	107	31	37	28
NM_000194.3	1046	832	773	718	809	935
NM_000195.5	43	21	20	13	6	8
NM_000196.4	30	51	41	30	41	31
NM_000197.2	4	12	4	0	4	8
NM_000198.4	2	4	0	0	0	0
NM_000199.5	18	2	4	0	4	0
NM_000201.3	1451	1239	1058	698	628	657
NM_000202.8	1580	1301	1321	1030	1043	1200
NM_000203.5	21	12	14	13	6	12
NM_000204.5	14	8	7	4	6	6
NM_000206.3	1087	918	872	745	547	726
NM_000208.4	50	26	30	6	7	6
NM_000209.4	12	8	17	15	14	18
NM_000210.4	2298	1710	1769	1544	1601	1762
NM_000211.5	75	75	73	56	32	35
NM_000212.3	88	72	84	12	17	21
NM_000213.5	1142	882	924	558	577	585
NM_000214.3	7443	6236	5826	7212	7417	7024
NM_000215.4	53	35	41	27	12	18
NM_000216.4	2	0	0	0	0	0
NM_000218.3	8	7	0	2	2	0
NM_000219.6	0	2	0	0	0	0
NM_000220.6	0	2	0	0	0	0
NM_000221.3	4	0	0	0	0	0
NM_000222.3	4	6	2	0	0	0
NM_000223.4	0	0	0	2	0	0
NM_000224.3	11117	8318	8732	6583	6615	7261
NM_000226.4	2	2	8	2	0	0
NM_000227.6	1018	851	830	916	1011	1014
NM_000228.3	2073	1885	1929	1234	1277	1260
NM_000229.2	129	125	155	73	58	73
NM_000230.3	2	1	3	0	0	3
NM_000232.5	202	196	172	158	124	159
NM_000234.3	134	98	107	57	56	80
NM_000235.4	318	269	206	160	159	205
NM_000239.3	25	11	16	4	6	5
NM_000243.3	2	4	10	3	2	3
NM_000244.3	45	31	43	19	19	16
NM_000245.4	3150	2328	2354	1195	1268	1480
NM_000246.4	70	63	95	59	68	51
NM_000247.3	6	10	6	9	5	3
NM_000248.4	28	16	29	18	19	16
NM_000249.4	33	38	18	15	20	14
NM_000251.3	258	165	160	131	127	159
NM_000252.3	40	36	34	28	31	31
NM_000253.4	2	0	2	0	0	0
NM_000254.3	78	55	71	54	56	77
NM_000255.4	309	214	217	165	122	169
NM_000259.3	60	57	46	54	53	53
NM_000260.4	0	0	2	2	0	0
NM_000261.2	0	0	0	2	0	0
NM_000262.3	332	226	260	160	135	178
NM_000263.4	150	134	118	85	93	98
NM_000264.5	52	14	35	8	18	13
NM_000265.7	34	37	34	19	24	15
NM_000266.4	2	0	0	1	4	4
NM_000267.3	887	655	628	549	562	668
NM_000268.4	93	75	65	65	40	54
NM_000269.3	539	431	420	364	362	441
NM_000270.4	2053	1555	1669	1705	1763	2091
NM_000271.5	474	404	331	222	220	266
NM_000272.5	2	6	2	0	0	2
NM_000273.3	3	0	2	0	0	4
NM_000274.4	910	589	695	330	315	376
NM_000276.4	365	299	327	216	210	258
NM_000280.5	0	2	0	0	0	0
NM_000281.4	139	126	92	46	62	87
NM_000282.4	12	2	12	5	8	8
NM_000283.4	0	1	0	0	1	1
NM_000284.4	267	288	230	207	188	206
NM_000285.4	376	310	326	153	142	230
NM_000286.3	143	99	90	100	81	72
NM_000287.4	132	102	106	54	73	57
NM_000288.4	43	38	41	22	16	20
NM_000289.6	38	24	20	27	23	30
NM_000290.4	4	0	8	2	0	2
NM_000291.4	17002	12863	12531	10253	11130	11646
NM_000292.3	43	34	50	27	27	41
NM_000293.3	312	264	250	192	231	213
NM_000294.3	468	424	357	223	241	271
NM_000295.5	0	0	0	2	1	0
NM_000296.4	139	171	125	65	72	104
NM_000297.4	132	87	120	80	53	73
NM_000298.6	2	0	0	2	0	0
NM_000299.4	1160	986	995	938	1152	1201
NM_000301.5	4	6	0	2	1	0
NM_000302.4	2628	2056	1858	1418	1287	1368
NM_000303.3	614	503	579	533	550	561
NM_000305.3	341	268	308	244	204	244
NM_000307.5	0	2	0	0	0	0
NM_000308.4	776	551	664	313	325	381
NM_000309.5	2	8	2	0	2	2
NM_000310.4	1649	1274	1284	1007	1058	1129
NM_000311.5	1434	982	937	906	870	908
NM_000312.4	2	0	0	0	0	0
NM_000313.4	2	4	4	2	7	6
NM_000314.8	414	304	336	206	278	316
NM_000317.3	288	189	174	172	162	220
NM_000318.3	118	101	101	40	62	49
NM_000319.5	52	39	30	17	6	26
NM_000320.3	160	117	126	88	85	102
NM_000321.3	706	496	456	364	414	445
NM_000325.6	0	2	0	0	2	4
NM_000326.5	0	0	0	0	0	2
NM_000327.4	23	12	23	19	15	10
NM_000328.3	10	5	6	4	2	6
NM_000329.3	7	11	16	15	14	17
NM_000331.6	80	41	50	30	26	26
NM_000332.3	118	93	74	54	50	47
NM_000333.4	73	84	59	48	67	64
NM_000334.4	0	2	0	0	0	2
NM_000336.3	2	0	4	2	2	0
NM_000339.3	2	0	0	0	0	3
NM_000341.4	20	12	8	10	7	5
NM_000342.4	12	4	9	7	3	3
NM_000344.4	107	69	62	82	82	107
NM_000345.4	32	18	6	22	23	12
NM_000346.4	139	129	157	161	166	131
NM_000349.3	8	1	6	7	3	5
NM_000350.3	15	27	13	0	9	9
NM_000351.7	51	24	31	22	34	27
NM_000353.3	5	1	5	5	1	1
NM_000355.4	169	90	110	83	66	79
NM_000356.4	124	100	110	76	76	74
NM_000358.3	9037	7314	7134	5542	5537	5731
NM_000359.3	123	73	87	73	62	44
NM_000360.4	16	12	6	5	8	11
NM_000361.3	3115	2617	2482	2473	2416	2483
NM_000362.5	18117	13760	14766	5078	4772	4774
NM_000363.5	9	13	5	11	2	14
NM_000364.4	2	0	0	0	2	0
NM_000365.6	4844	4112	3700	2854	2895	3284
